accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,23.0,920.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,-1.0,SIMPLE,0,1984,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1997,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,029,70.0,-1.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,028,56.0,1.0,SIMPLE,0,1967,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,672.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,007,71.0,445.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,250.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,170.0,SIMPLE,0,1984,ARABI,1
2020-01-01,8PM,,,,COLLISION,,DRUNK,001,44.0,260.0,SIMPLE,0,1985,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,13.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,51.0,765.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,251.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,882.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,750.0,SIMPLE,0,1997,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,45.0,-1.0,,0,0,,9
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,70.0,456.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,663.0,SIMPLE,0,1988,AFRIC,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,43.0,660.0,SIMPLE,0,1991,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,32.0,955.0,SIMPLE,0,1966,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,29.0,210.0,SIMPLE,0,1982,EUROP,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,530.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,OTHER,003,94.0,-1.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COUP,INVERSION,,009,51.0,130.0,LIGHT INJURY,0,1987,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,39.0,251.0,SIMPLE,0,1985,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,840.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,-1.0,SIMPLE,0,1993,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,35.0,232.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,027,91.0,201.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,009,55.0,363.0,SIMPLE,0,1984,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,910.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,54.0,625.0,SIMPLE,0,1981,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,54.0,517.0,SIMPLE,0,1990,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,69.0,-1.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,666.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,66.0,101.0,SIMPLE,0,1999,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,009,54.0,280.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,61.0,831.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,14.0,860.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,31.0,380.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COUP,INVERSION,,001,55.0,340.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,611.0,SIMPLE,0,1978,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,70.0,3090.0,SIMPLE,0,1979,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,14.0,841.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,902.0,SIMPLE,0,1974,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,969.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,670.0,SIMPLE,0,1976,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,652.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,902.0,SIMPLE,0,1977,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,37.0,-1.0,SIMPLE,0,1978,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,90.0,1079.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,1.0,119.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,24.0,936.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,40.0,868.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,16.0,950.0,SIMPLE,0,1973,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,52.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,22.0,930.0,SIMPLE,0,1982,EUROP,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,300.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,003,90.0,313.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,38.0,893.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,330.0,SIMPLE,0,1971,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,24.0,330.0,SIMPLE,0,1985,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,185.0,SIMPLE,0,1982,GULF,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,51.0,950.0,SIMPLE,0,1980,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,44.0,250.0,SIMPLE,0,1985,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,34.0,989.0,SIMPLE,0,1958,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,36.0,252.0,SIMPLE,0,2002,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,809.0,SIMPLE,0,1988,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,50.0,270.0,SIMPLE,0,2000,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,,001,6.0,-1.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,941.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,40.0,250.0,SIMPLE,0,1962,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,340.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,55.0,340.0,SIMPLE,0,1986,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,500.0,SIMPLE,0,1956,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,340.0,SIMPLE,0,1979,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,18.0,920.0,SIMPLE,0,1972,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,021,74.0,253.0,LIGHT INJURY,0,2003,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,1.0,-1.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,90.0,313.0,SIMPLE,0,1977,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,52.0,281.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,350.0,SIMPLE,0,1984,ARABI,2
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,32.0,850.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,444.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,009,54.0,934.0,SIMPLE,0,1958,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,990.0,SIMPLE,0,1994,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,30.0,-1.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,340.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,32.0,,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,005,90.0,201.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1980,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,54.0,364.0,SIMPLE,0,1982,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,460.0,SIMPLE,0,1975,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,910.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,OTHER,001,55.0,280.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,70.0,800.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,824.0,SIMPLE,0,1971,ASIA,2
2020-01-01,8PM,,,,COLLISION,,,009,54.0,280.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,91.0,311.0,SIMPLE,0,1998,QATAR,2
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,37.0,964.0,,0,0,,5
2020-01-01,8PM,,,,COLLISION,,,009,54.0,364.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,836.0,SIMPLE,0,1978,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,007,70.0,444.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,970.0,SIMPLE,0,1991,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,740.0,SIMPLE,0,1995,ARABI,1
2020-01-01,8PM,,,,COLLISION,FALL FROM CAR,,001,44.0,260.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,028,57.0,15.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,027,95.0,-1.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,55.0,890.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,48.0,310.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,OTHER,001,30.0,253.0,SIMPLE,0,1993,QATAR,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,001,31.0,950.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,312.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,456.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,325.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,25.0,230.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,31.0,970.0,SIMPLE,0,2000,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,25.0,970.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,45.0,840.0,SIMPLE,0,1991,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,-1.0,SIMPLE,0,1970,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,027,91.0,100.0,SIMPLE,0,1970,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,005,91.0,95.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,48.0,310.0,SIMPLE,0,1974,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,47.0,-1.0,SIMPLE,0,1997,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,850.0,SIMPLE,0,1979,ARABI,1
2020-01-01,8PM,,,INTERNAL,RUN OVER,COLLISION WITH PEDESTRIANS,,009,55.0,-1.0,LIGHT INJURY,0,1986,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,26.0,944.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,171.0,SIMPLE,0,1986,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,-1.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,34.0,932.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,650.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,33.0,828.0,,0,0,,3
2020-01-01,8PM,,,,COLLISION,,,001,38.0,960.0,SIMPLE,0,1968,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,009,51.0,-1.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,51.0,469.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,17.0,210.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,1400.0,SIMPLE,0,1974,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,60.0,LIGHT INJURY,0,1988,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,17.0,-1.0,SIMPLE,0,1986,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,24.0,950.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,983.0,SIMPLE,0,1976,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,427.0,SIMPLE,0,2001,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,55.0,491.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,009,51.0,373.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,840.0,SIMPLE,0,1969,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,970.0,SIMPLE,0,1993,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,312.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,37.0,244.0,SIMPLE,0,1999,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,604.0,SIMPLE,0,1978,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,57.0,15.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,34.0,887.0,,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,34.0,252.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,007,70.0,587.0,SIMPLE,0,2001,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,995.0,SIMPLE,0,1988,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,30.0,950.0,SIMPLE,0,1977,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,43.0,340.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,171.0,SIMPLE,0,1966,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,-1.0,SIMPLE,0,1998,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,411.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,028,57.0,150.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,009,53.0,-1.0,SIMPLE,0,1971,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,34.0,829.0,SIMPLE,0,1961,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,850.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,41.0,850.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,14.0,339.0,SIMPLE,0,1985,ARABI,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,26.0,850.0,,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,43.0,765.0,SIMPLE,0,1972,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,350.0,SIMPLE,0,1998,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,33.0,370.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,340.0,SIMPLE,0,1964,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,970.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,355.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,340.0,SIMPLE,0,1971,QATAR,1
2020-01-01,8PM,,,,COLLISION,,OTHER,008,71.0,800.0,LIGHT INJURY,0,1997,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,311.0,SIMPLE,0,1967,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,028,56.0,560.0,SIMPLE,0,1969,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,002,74.0,629.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,300.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,720.0,SIMPLE,0,1980,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,45.0,310.0,SIMPLE,0,1962,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,39.0,231.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,028,57.0,15.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,32.0,927.0,SIMPLE,0,1982,ASIA,1
2020-01-01,8PM,,,,,,,001,56.0,340.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,850.0,SIMPLE,0,1967,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,24.0,-1.0,SIMPLE,0,1992,EUROP,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,300.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,22.0,930.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,16.0,850.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,6.0,119.0,SIMPLE,0,1973,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,34.0,880.0,SIMPLE,0,1975,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,027,91.0,826.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,30.0,-1.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,32.0,950.0,SIMPLE,0,1985,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,027,91.0,202.0,LIGHT INJURY,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,43.0,819.0,SIMPLE,0,1992,ASIA,1
